Number,Spot,City,Region,Country,Date,Type,Depth (m),Time (min),Observations,Technique,Center,with instructor,# divers,Divers,Température surface,Température fond,Special,Photos
106,Roche du pêcheur,Théoule,Alpes-Maritimes,France,10/05/2025,Exploration,23,47,Mérous - Barracudas - Murène - Danty - Saupe,,Plogée Miramar,yes,5,Steren + Anne + mono + 2 N2,,,19,,
107,Breakwater (San Carlos Beach),Monterey,California,USA,24/07/2025,Exploration,13,58,"Otaries (Sea Lion), kelp",,Bamboo Reef,yes,3,Steren + Anne + mono,,"12,5",11.0,,
108,Turtle town,Maui,Hawaii,USA,10/08/2025,Exploration,9,53,"nudibranches, murènes tachetées, tortues, requin",,Pro Divers Maui,yes,7,Steren + Anne + 4 plongeurs + mono,,23,22,,
109,Manta Heaven,Kona,Hawaii,USA,18/08/2025,Exploration,"11,6",50,"Raies manta, cigale des mers",,Big Island Divers,yes,8,Steren + Anne + 5 plongeurs + mono,,26,24,Nuit,
