date,value
2025-02-26,4687
2025-02-25,5802
2025-02-24,5215
2025-02-23,6054
2025-02-22,9192
2025-02-21,5117
2025-02-20,13277
2025-02-19,4355
2025-02-18,3988
2025-02-17,7006
2025-02-16,5764
2025-02-15,6987
2025-02-14,4421
2025-02-13,3418
2025-02-12,4811
2025-02-11,5496
2025-02-10,4918
2025-02-09,7937
2025-02-08,8593
2025-02-07,4832
2025-02-06,4669
2025-02-05,8729
2025-02-04,4924
2025-02-03,7752
2025-02-02,6402
2025-02-01,6593
2025-01-31,4068
2025-01-30,3917
2025-01-29,6395
2025-01-28,4473
2025-01-27,5509
2025-01-26,9644
2025-01-25,6536
2025-01-24,3561
2025-01-23,5814
2025-01-22,5271
2025-01-21,6000
2025-01-20,2236
2025-01-19,4814
2025-01-18,4361
2025-01-17,8311
2025-01-16,6438
2025-01-15,5692
2025-01-14,3887
2025-01-13,5557
2025-01-12,7761
2025-01-11,7466
2025-01-10,5579
2025-01-09,6326
2025-01-08,4641
2025-01-07,5196
2025-01-06,4396
2025-01-05,4072
2025-01-04,6532
2025-01-03,7838
2025-01-02,8416
